lm0.0reg4l4h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6865		eval_len25-49_acc: 0.513		eval_len50-74_acc: 0.507		eval_len75-99_acc: 0.4935		eval_len100-124_acc: 0.48		eval_len125-149_acc: 0.489		lr: 0.001
lm0.0reg4l4h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.675		eval_len25-49_acc: 0.516		eval_len50-74_acc: 0.509		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.0001
lm0.0reg4l4h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.684		eval_len25-49_acc: 0.5175		eval_len50-74_acc: 0.5085		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.001
lm0.0reg4l4h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6845		eval_len25-49_acc: 0.519		eval_len50-74_acc: 0.5105		eval_len75-99_acc: 0.4915		eval_len100-124_acc: 0.486		eval_len125-149_acc: 0.497		lr: 0.0001
lm0.0reg4l4h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.645		eval_len25-49_acc: 0.4845		eval_len50-74_acc: 0.495		eval_len75-99_acc: 0.4895		eval_len100-124_acc: 0.482		eval_len125-149_acc: 0.492		lr: 0.001
lm0.0reg4l4h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.677		eval_len25-49_acc: 0.5165		eval_len50-74_acc: 0.5085		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.0001
lm0.0reg4l4h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6455		eval_len25-49_acc: 0.4935		eval_len50-74_acc: 0.5055		eval_len75-99_acc: 0.4935		eval_len100-124_acc: 0.479		eval_len125-149_acc: 0.495		lr: 0.001
lm0.0reg4l4h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.674		eval_len25-49_acc: 0.519		eval_len50-74_acc: 0.4935		eval_len75-99_acc: 0.437		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.0001
lm0.0reg4l4h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.645		eval_len25-49_acc: 0.4845		eval_len50-74_acc: 0.495		eval_len75-99_acc: 0.4895		eval_len100-124_acc: 0.482		eval_len125-149_acc: 0.492		lr: 0.001
lm0.0reg4l4h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.677		eval_len25-49_acc: 0.5165		eval_len50-74_acc: 0.5085		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.0001
lm0.0reg4l4h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6455		eval_len25-49_acc: 0.4935		eval_len50-74_acc: 0.5055		eval_len75-99_acc: 0.4935		eval_len100-124_acc: 0.479		eval_len125-149_acc: 0.495		lr: 0.001
lm0.0reg4l4h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.674		eval_len25-49_acc: 0.519		eval_len50-74_acc: 0.4935		eval_len75-99_acc: 0.437		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.0001
